Load,Solar,Wind,,,,
27.06,0.00,6.22,,,,
26.30,0.00,5.80,,,,
25.88,0.00,5.41,,,,
25.05,0.00,5.20,,,,
23.87,0.00,5.18,,,,
24.22,0.00,5.27,,,,
24.22,0.02,5.43,,,,
22.97,1.61,5.55,,,,
24.45,3.59,5.66,,,,
25.32,5.11,5.69,,,,
25.70,6.16,5.59,,,,
25.38,6.70,5.47,,,,
25.92,6.80,5.29,,,,
24.86,6.41,5.10,,,,
26.10,5.51,4.96,,,,
26.84,4.06,4.98,,,,
25.87,2.08,5.17,,,,
26.30,0.16,5.37,,,,
28.65,0.00,5.54,,,,
30.10,0.00,5.66,,,,
29.89,0.00,5.69,,,,
28.37,0.00,5.61,,,,
28.37,0.00,5.44,,,,
27.33,0.00,5.34,,,,
25.88,0.00,5.29,,,,
25.26,0.00,5.13,,,,
24.98,0.00,4.93,,,,
24.36,0.00,4.83,,,,
23.74,0.00,4.92,,,,
23.67,0.00,5.05,,,,
24.22,0.02,5.12,,,,
23.57,1.67,5.08,,,,
23.94,3.68,4.84,,,,
26.71,5.20,4.41,,,,
28.16,6.21,3.94,,,,
28.02,6.77,3.72,,,,
28.66,6.81,3.74,,,,
27.77,6.25,3.76,,,,
28.77,5.37,3.74,,,,
28.11,3.93,3.72,,,,
28.23,2.04,3.61,,,,
27.82,0.17,3.46,,,,
29.83,0.00,3.66,,,,
31.56,0.00,3.75,,,,
30.79,0.00,3.46,,,,
30.03,0.00,3.35,,,,
28.51,0.00,3.24,,,,
27.33,0.00,3.14,,,,
26.16,0.00,3.01,,,,
25.12,0.00,3.10,,,,
24.57,0.00,3.79,,,,
23.60,0.00,4.52,,,,
23.32,0.00,4.93,,,,
22.97,0.00,5.00,,,,
23.32,0.01,5.00,,,,
21.77,1.22,5.14,,,,
22.65,3.41,5.36,,,,
23.77,5.08,5.51,,,,
23.96,6.10,5.52,,,,
24.43,6.57,5.43,,,,
25.24,6.66,5.29,,,,
24.61,6.21,5.13,,,,
24.86,5.17,5.06,,,,
25.33,3.60,5.14,,,,
25.95,1.64,5.25,,,,
25.81,0.11,5.26,,,,
27.96,0.00,5.25,,,,
29.83,0.00,5.18,,,,
29.41,0.00,5.00,,,,
27.82,0.00,4.77,,,,
27.54,0.00,4.54,,,,
27.13,0.00,4.40,,,,
24.77,0.00,4.31,,,,
24.57,0.00,4.22,,,,
23.53,0.00,4.33,,,,
23.11,0.00,4.70,,,,
22.97,0.00,5.07,,,,
23.11,0.00,5.24,,,,
23.94,0.01,5.25,,,,
25.05,1.11,5.25,,,,
27.16,2.22,5.37,,,,
30.80,3.25,5.45,,,,
31.41,4.92,5.35,,,,
31.56,6.37,5.24,,,,
32.07,6.72,5.14,,,,
31.29,6.28,5.02,,,,
30.90,5.33,4.93,,,,
31.80,3.88,4.87,,,,
30.55,1.95,4.77,,,,
29.01,0.15,4.54,,,,
30.45,0.00,4.23,,,,
32.39,0.00,3.90,,,,
31.62,0.00,3.57,,,,
30.79,0.00,3.21,,,,
28.44,0.00,2.90,,,,
26.78,0.00,2.69,,,,
26.09,0.00,2.58,,,,
25.19,0.00,2.51,,,,
24.57,0.00,2.47,,,,
24.57,0.00,2.48,,,,
24.22,0.00,2.54,,,,
24.22,0.00,2.54,,,,
25.47,0.01,2.57,,,,
25.47,1.48,2.62,,,,
27.75,3.45,2.72,,,,
30.24,5.01,2.87,,,,
29.41,6.04,2.99,,,,
31.38,6.60,2.98,,,,
30.81,6.62,2.90,,,,
30.97,6.18,2.84,,,,
31.60,5.25,2.78,,,,
31.02,3.78,2.70,,,,
30.15,1.87,2.56,,,,
29.10,0.14,2.49,,,,
29.83,0.00,2.59,,,,
32.11,0.00,2.87,,,,
31.69,0.00,3.23,,,,
28.03,0.00,3.54,,,,
26.78,0.00,3.78,,,,
25.12,0.00,3.96,,,,
23.80,0.00,4.04,,,,
23.53,0.00,3.90,,,,
22.49,0.00,3.77,,,,
21.80,0.00,3.78,,,,
21.66,0.00,3.98,,,,
21.87,0.00,4.16,,,,
23.53,0.02,4.34,,,,
23.18,1.55,4.64,,,,
25.12,3.51,4.91,,,,
27.26,5.07,5.07,,,,
27.40,6.15,5.09,,,,
28.10,6.68,5.06,,,,
29.89,6.75,4.89,,,,
30.40,6.31,4.53,,,,
